model,noise_type,noise_level,fold,train_size,val_size,actual_noise_pct,runtime_seconds,ram_gb,accuracy,f1_macro,f1_weighted,precision_class_0,recall_class_0,f1_class_0,support_class_0,precision_class_1,recall_class_1,f1_class_1,support_class_1,precision_class_2,recall_class_2,f1_class_2,support_class_2,precision_class_3,recall_class_3,f1_class_3,support_class_3,precision_class_4,recall_class_4,f1_class_4,support_class_4,precision_class_5,recall_class_5,f1_class_5,support_class_5,precision_class_6,recall_class_6,f1_class_6,support_class_6
Stacking,symmetric,0.3,4,80000,20000,30.051250000000003,318.21025705337524,5.59929344,0.8815,0.7853175444201447,0.8795463553298467,0.895583462678143,0.8704059243006034,0.882815216635371,7292,0.8826580544137796,0.9248359310910582,0.9032548823234853,9752,0.8475232198142415,0.8902439024390244,0.8683584456780333,1230,0.8732394366197183,0.6526315789473685,0.7469879518072289,95,0.7158469945355191,0.40061162079510704,0.5137254901960784,327,0.779245283018868,0.6906354515050167,0.7322695035460993,598,0.9095315024232633,0.7974504249291785,0.849811320754717,706
Stacking,symmetric,0.4,0,80000,20000,40.082499999999996,319.40964794158936,5.946740736,0.86005,0.6836463224983075,0.855776799725925,0.8751941267824368,0.8501097092704334,0.8624695652173913,7292,0.8639613526570048,0.9169401148482362,0.8896627201273505,9752,0.7986476333583772,0.8635255889520714,0.8298204527712725,1231,0.76,0.20212765957446807,0.31932773109243695,94,0.7931034482758621,0.28134556574923547,0.4153498871331828,327,0.752,0.6287625418060201,0.6848816029143898,598,0.8571428571428571,0.7223796033994334,0.7840122982321291,706
Stacking,symmetric,0.4,1,80000,20000,39.9325,327.0995342731476,6.09622016,0.86125,0.6967336241904357,0.8566692706998856,0.8770801286533352,0.8601206801974767,0.8685176209928686,7292,0.8603933667566526,0.9150943396226415,0.8869012124826078,9752,0.8270142180094787,0.8505280259951259,0.8386063275931117,1231,0.7948717948717948,0.32978723404255317,0.46616541353383456,94,0.8152173913043478,0.22935779816513763,0.35799522673031026,327,0.7423312883435583,0.6070234113712375,0.6678932842686293,598,0.868020304568528,0.726628895184136,0.7910562837316885,706
Stacking,symmetric,0.4,2,80000,20000,40.21125,320.7724528312683,6.056046592,0.8571,0.665835763966763,0.8526150376208641,0.8744311717861206,0.8432528798683488,0.8585590617146048,7292,0.856634957240319,0.9141714520098442,0.8844684756188304,9752,0.8002969561989607,0.875710804224208,0.8363072148952676,1231,1.0,0.07368421052631578,0.13725490196078433,95,0.782608695652174,0.3312883435582822,0.46551724137931033,326,0.7453416149068323,0.6020066889632107,0.666049953746531,598,0.8959044368600683,0.7436260623229461,0.8126934984520123,706
Stacking,symmetric,0.4,3,80000,20000,40.08875,319.976571559906,6.014455808,0.86095,0.6767351142402102,0.8561321099476705,0.8840102974828375,0.847641250685683,0.8654438532623915,7292,0.8580135225216646,0.9239130434782609,0.8897447291759245,9752,0.7984848484848485,0.8562144597887896,0.8263426107408859,1231,0.9411764705882353,0.16842105263157894,0.2857142857142857,95,0.8811881188118812,0.27217125382262997,0.4158878504672897,327,0.7321063394683026,0.5996649916247906,0.6593001841620626,597,0.8810344827586207,0.7237960339943342,0.7947122861586314,706
Stacking,symmetric,0.4,4,80000,20000,39.975,328.8444793224335,6.4946176,0.8598,0.6649316449560688,0.8541933895419909,0.8738422677518944,0.8539495337356007,0.8637813843806353,7292,0.8579376498800959,0.9171452009844134,0.8865539971254398,9752,0.8055764883195177,0.8691056910569106,0.8361360969886585,1230,0.9285714285714286,0.1368421052631579,0.23853211009174313,95,0.875,0.21406727828746178,0.343980343980344,327,0.7703862660944206,0.6003344481605352,0.674812030075188,598,0.9145907473309609,0.7280453257790368,0.8107255520504731,706
Stacking,asymmetric,0.0,0,80000,20000,0.0,245.39840507507324,7.070654464,0.92555,0.8883991441620723,0.9252490569081833,0.9315355595920078,0.914289632473944,0.9228320298982629,7292,0.9272161429575344,0.9470877768662839,0.9370466189823974,9752,0.9169381107491856,0.9147034930950447,0.9158194387962586,1231,0.8631578947368421,0.8723404255319149,0.8677248677248677,94,0.8721804511278195,0.709480122324159,0.7824620573355818,327,0.8675721561969439,0.8545150501672241,0.8609941027801179,598,0.9332386363636364,0.9305949008498584,0.9319148936170213,706
Stacking,asymmetric,0.0,1,80000,20000,0.0,246.90659356117249,6.539137024,0.92845,0.8889650753418392,0.9282080378796851,0.9334632516703786,0.91963795940757,0.9264990328820116,7292,0.9307916708580626,0.94883100902379,0.9397247753008683,9752,0.9258064516129032,0.9325751421608448,0.9291784702549575,1231,0.8631578947368421,0.8723404255319149,0.8677248677248677,94,0.8356643356643356,0.7308868501529052,0.7797716150081566,327,0.8715753424657534,0.8511705685618729,0.8612521150592216,598,0.9432835820895522,0.8951841359773371,0.9186046511627907,706
Stacking,asymmetric,0.0,2,80000,20000,0.0,256.1608097553253,5.948227584,0.9261,0.8835323747350419,0.9258299363198966,0.931878584417401,0.9136039495337356,0.9226507859566512,7292,0.927373179306881,0.9466776045939295,0.9369259653930075,9752,0.9117415287628053,0.9398862713241267,0.9256,1231,0.8658536585365854,0.7473684210526316,0.8022598870056498,95,0.8673835125448028,0.7423312883435583,0.8,326,0.8754266211604096,0.8578595317725752,0.8665540540540541,598,0.9485294117647058,0.9135977337110481,0.9307359307359307,706
Stacking,asymmetric,0.0,3,80000,20000,0.0,248.30073499679565,5.619011584,0.92635,0.8875133811503207,0.9261314829954094,0.9329149232914923,0.9173066374108613,0.9250449453740838,7292,0.9300896544776871,0.946780147662018,0.9383606890594034,9752,0.9014195583596214,0.9285134037367994,0.9147659063625451,1231,0.9285714285714286,0.8210526315789474,0.8715083798882681,95,0.8344594594594594,0.7553516819571865,0.7929373996789727,327,0.8581436077057794,0.8207705192629816,0.839041095890411,597,0.945906432748538,0.9164305949008499,0.9309352517985612,706
