dataset,condition,noise_type,fold,actual_noise_pct,f1_RF,acc_RF,f1_XGB,acc_XGB,f1_ET,acc_ET,f1_Voting,acc_Voting,f1_PlainStack,acc_PlainStack,f1_DAS,acc_DAS,mean_pairwise_kappa,f1_best_single,stack_gap_vs_best,das_delta
cifar10,symmetric_10,symmetric,1,10.1625,0.8288225417857564,0.8291666666666667,0.8709955322355304,0.8708333333333333,0.8364055016849475,0.837,0.8725811137939624,0.8725,0.8735919917003535,0.8733333333333333,0.8726473328983122,0.8723333333333333,0.8896466168565045,0.8709955322355304,0.00259645946482312,-0.0009446588020413094
cifar10,symmetric_10,symmetric,2,10.05,0.8283911708035172,0.8288333333333333,0.8700262585661817,0.8701666666666666,0.835652644502528,0.8361666666666666,0.8717733392002878,0.8718333333333333,0.8698115621112805,0.8698333333333333,0.8691605886505146,0.869,0.885782700368666,0.8700262585661817,-0.00021469645490113098,-0.0006509734607659245
cifar10,symmetric_10,symmetric,3,9.766666666666666,0.8311184105511871,0.8313333333333334,0.8777497046532577,0.8775,0.8368347612716935,0.8371666666666666,0.8763758859639819,0.8761666666666666,0.8766939376133216,0.8763333333333333,0.8768309796599045,0.8765,0.88656617475562,0.8777497046532577,-0.0010557670399361507,0.00013704204658293584
cifar10,symmetric_10,symmetric,4,10.2875,0.817008047392588,0.8171666666666667,0.8690537993005213,0.869,0.8310569665473292,0.8316666666666667,0.8670414078243445,0.867,0.8694563980405784,0.8693333333333333,0.8688478125991136,0.8686666666666667,0.8832769400166959,0.8690537993005213,0.00040259874005710294,-0.000608585441464804
cifar10,symmetric_20,symmetric,0,20.125,0.8219263066016864,0.8226666666666667,0.8557061053602663,0.8556666666666667,0.8268821003156607,0.8275,0.8578723011312889,0.8578333333333333,0.8574990987139923,0.8573333333333333,0.8582553524171532,0.8578333333333333,0.8767223243276968,0.8557061053602663,0.001792993353726069,0.0007562537031609029
cifar10,symmetric_20,symmetric,1,19.9125,0.8318937824144875,0.8325,0.8609683406899944,0.861,0.8328887358023527,0.8336666666666667,0.8643878751029395,0.8645,0.8608686243874487,0.8608333333333333,0.8622971421116221,0.862,0.8785981067910393,0.8609683406899944,-9.971630254568264e-05,0.001428517724173406
cifar10,symmetric_20,symmetric,2,19.4375,0.825246071170249,0.8256666666666667,0.8588958970110427,0.859,0.8329428797017625,0.8333333333333334,0.8619796258067869,0.862,0.8594371686320322,0.8593333333333333,0.8603612282883774,0.86,0.8800438154578166,0.8588958970110427,0.0005412716209894919,0.000924059656345122
cifar10,symmetric_20,symmetric,3,20.2875,0.825329517477458,0.8255,0.8673114386502462,0.867,0.830879517723224,0.831,0.8677029116095477,0.8675,0.8676030597209954,0.8671666666666666,0.8679490312546367,0.8673333333333333,0.8782313244752493,0.8673114386502462,0.00029162107074920396,0.0003459715336413538
cifar10,symmetric_20,symmetric,4,19.8375,0.8136043525549917,0.8138333333333333,0.8560065688464549,0.856,0.826124219250312,0.8266666666666667,0.8577689103884006,0.8576666666666667,0.856139284445673,0.856,0.8559476301742748,0.8558333333333333,0.8766278737745367,0.8560065688464549,0.00013271559921812504,-0.00019165427139822278
cifar10,symmetric_30,symmetric,0,30.012499999999996,0.8225146812186548,0.8226666666666667,0.8515124113802759,0.8515,0.8272381726259919,0.8278333333333333,0.8564807973697883,0.8565,0.8547698149384114,0.8545,0.8541974663790359,0.8533333333333334,0.866026131395453,0.8515124113802759,0.00325740355813553,-0.0005723485593754907
cifar10,symmetric_30,symmetric,1,29.50833333333333,0.8252634710706983,0.8256666666666667,0.8557743953579087,0.856,0.8316592133503556,0.8321666666666667,0.8608422939041118,0.8611666666666666,0.8572515405628988,0.8573333333333333,0.8589207049813863,0.8588333333333333,0.8693117332199147,0.8557743953579087,0.0014771452049900935,0.0016691644184875232
cifar10,symmetric_30,symmetric,2,30.0375,0.8211428510988963,0.8216666666666667,0.8463050493058736,0.8465,0.8270089068696409,0.8276666666666667,0.8528871676079772,0.8531666666666666,0.849652455815135,0.8495,0.8500462169588723,0.8495,0.8707740416699258,0.8463050493058736,0.0033474065092614635,0.0003937611437372368
cifar10,symmetric_30,symmetric,3,29.770833333333336,0.8277150410034796,0.8278333333333333,0.8553984217761922,0.8551666666666666,0.8330759939998936,0.8333333333333334,0.8605094628913695,0.8603333333333333,0.8548877463594609,0.8545,0.8556778745157969,0.855,0.8694621274497906,0.8553984217761922,-0.0005106754167313321,0.0007901281563360563
cifar10,symmetric_30,symmetric,4,30.020833333333336,0.8154245879201882,0.8156666666666667,0.8489120930882743,0.8486666666666667,0.8251946185717207,0.8258333333333333,0.8564407981196844,0.8561666666666666,0.8506935033192302,0.8501666666666666,0.8521273211382491,0.8511666666666666,0.8652072396908598,0.8489120930882743,0.0017814102309559043,0.0014338178190188566
cifar10,symmetric_40,symmetric,0,39.625,0.8156084792366627,0.816,0.8309067222647164,0.8311666666666667,0.8229791898859726,0.824,0.8426366633719397,0.8428333333333333,0.8361683818161104,0.836,0.838424970714818,0.8378333333333333,0.8483121254785034,0.8309067222647164,0.005261659551394016,0.002256588898707612
cifar10,symmetric_40,symmetric,1,39.90416666666667,0.8231843050370017,0.8238333333333333,0.8332666675047111,0.8333333333333334,0.8200089369332083,0.8208333333333333,0.8523457755518967,0.8525,0.8437928379982862,0.8435,0.8428285792978827,0.8421666666666666,0.851519814452342,0.8332666675047111,0.010526170493575071,-0.0009642587004035086
cifar10,symmetric_40,symmetric,2,39.925,0.8172359613575105,0.8175,0.8350701875945298,0.8351666666666666,0.82422382380274,0.8246666666666667,0.8476682150054058,0.8478333333333333,0.8421711620142028,0.842,0.844665413252098,0.844,0.8540935217920161,0.8350701875945298,0.007100974419673056,0.002494251237895151
cifar10,symmetric_40,symmetric,3,40.1,0.8224028855871331,0.8226666666666667,0.8411347835615857,0.8411666666666666,0.8281430086362377,0.8286666666666667,0.8535219092358164,0.8535,0.8502805448424361,0.85,0.8483931280855112,0.8478333333333333,0.855086401622135,0.8411347835615857,0.009145761280850428,-0.0018874167569249423
cifar10,symmetric_40,symmetric,4,40.10416666666667,0.8090846299168885,0.8091666666666667,0.8299180268844223,0.8296666666666667,0.8221548413516047,0.8225,0.8400495517030512,0.8398333333333333,0.8384503515004604,0.8378333333333333,0.836991759542015,0.8363333333333334,0.8457848134240411,0.8299180268844223,0.008532324616038145,-0.0014585919584454432
fmnist,asymmetric_10,asymmetric,0,10.291666666666668,0.8672177456332795,0.8690277777777777,0.8982877928727525,0.89875,0.8665250668250997,0.8688888888888889,0.8941915572968808,0.8952777777777777,0.8933073668212147,0.8934722222222222,0.8962252713480172,0.8963888888888889,0.9318562325405365,0.8982877928727525,-0.004980426051537812,0.0029179045268025172
fmnist,asymmetric_10,asymmetric,1,10.142361111111112,0.8541270603978713,0.85625,0.890044449376599,0.8906944444444445,0.8553617488232629,0.8583333333333333,0.886382782859846,0.8875,0.8851963446145383,0.8855555555555555,0.8852687227717793,0.8855555555555555,0.9290185795935108,0.890044449376599,-0.0048481047620606565,7.237815724092656e-05
fmnist,asymmetric_10,asymmetric,2,10.03125,0.858544458088067,0.86125,0.8883819374642032,0.8890277777777778,0.8553682300497542,0.8591666666666666,0.885340514447319,0.8863888888888889,0.8860132897355577,0.8863888888888889,0.8847203133889858,0.8851388888888889,0.9242217870483987,0.8883819374642032,-0.0023686477286455343,-0.0012929763465718835
fmnist,asymmetric_10,asymmetric,3,9.78125,0.8552722885226052,0.8570833333333333,0.8876165304132948,0.8877777777777778,0.8568147488196944,0.8588888888888889,0.8834145645638175,0.8840277777777777,0.8874699682701127,0.8870833333333333,0.8873329894226574,0.8870833333333333,0.9266271050423928,0.8876165304132948,-0.00014656214318209404,-0.00013697884745533795
fmnist,asymmetric_10,asymmetric,4,10.322916666666666,0.8591602349438545,0.8608333333333333,0.8955222894898871,0.8956944444444445,0.8638127913498428,0.8659722222222223,0.8910190525987565,0.8915277777777778,0.892416842935608,0.8922222222222222,0.8921066508105522,0.8919444444444444,0.9240442002883361,0.8955222894898871,-0.0031054465542791343,-0.00031019212505578597
fmnist,asymmetric_20,asymmetric,0,20.118055555555557,0.8679473323631098,0.8695833333333334,0.8859217754653346,0.88625,0.8664079492502719,0.8684722222222222,0.8870670246264177,0.8879166666666667,0.879475253770179,0.8793055555555556,0.8819543480679121,0.8818055555555555,0.9191945759006064,0.8859217754653346,-0.006446521695155583,0.0024790942977330754
fmnist,asymmetric_20,asymmetric,1,19.88888888888889,0.8551192980983725,0.8573611111111111,0.8778750086630918,0.8784722222222222,0.8521241830418063,0.8552777777777778,0.8786769052078938,0.8797222222222222,0.8675527618096999,0.8673611111111111,0.8719290703418524,0.8719444444444444,0.9199464032346808,0.8778750086630918,-0.010322246853391892,0.00437630853215254
fmnist,asymmetric_20,asymmetric,2,19.49652777777778,0.8524437458709674,0.8558333333333333,0.8837646653857452,0.8844444444444445,0.8521218045096518,0.8559722222222222,0.8808164237098497,0.8820833333333333,0.8745307488701162,0.8745833333333334,0.8770745455012389,0.8772222222222222,0.9183874929615398,0.8837646653857452,-0.009233916515628993,0.0025437966311226967
fmnist,asymmetric_20,asymmetric,3,20.243055555555557,0.8556136536832127,0.8579166666666667,0.8777544143082734,0.8780555555555556,0.8536233252839569,0.8561111111111112,0.8781563196937953,0.87875,0.8692807194892962,0.8688888888888889,0.8713192150024124,0.8711111111111111,0.9199188362696066,0.8777544143082734,-0.008473694818977195,0.0020384955131161897
fmnist,asymmetric_20,asymmetric,4,19.739583333333332,0.856577544983708,0.8583333333333333,0.8855635940922679,0.8855555555555555,0.860160911158836,0.8623611111111111,0.8886490366340845,0.8888888888888888,0.8778499214832447,0.8775,0.8788373880299778,0.8784722222222222,0.9181784909304485,0.8855635940922679,-0.0077136726090232255,0.0009874665467330956
fmnist,asymmetric_30,asymmetric,0,29.944444444444446,0.8619139992269901,0.8634722222222222,0.851973587873708,0.8525,0.8577690169229492,0.86,0.8745629933900096,0.8755555555555555,0.8453290640367122,0.8448611111111111,0.8484540647410908,0.8493055555555555,0.8943211831390135,0.8619139992269901,-0.016584935190277927,0.0031250007043786
fmnist,asymmetric_30,asymmetric,1,29.569444444444443,0.848637936697395,0.8508333333333333,0.8438906473339447,0.8444444444444444,0.8505702833124964,0.8536111111111111,0.8646489802861907,0.8656944444444444,0.8329199089240242,0.8322222222222222,0.8372677374860462,0.8380555555555556,0.8871496317973434,0.8505702833124964,-0.017650374388472168,0.0043478285620219825
fmnist,asymmetric_30,asymmetric,2,29.944444444444446,0.8465322411897718,0.8498611111111111,0.8390845678513822,0.84,0.8487406864670863,0.8525,0.8643542532125725,0.8658333333333333,0.8334415531663263,0.8325,0.8378337678514441,0.8384722222222222,0.8871365709152673,0.8487406864670863,-0.015299133300760048,0.004392214685117857
fmnist,asymmetric_30,asymmetric,3,29.812499999999996,0.8513098213053988,0.8533333333333334,0.8421305553197677,0.8425,0.8478438914164315,0.8501388888888889,0.8631530717031115,0.86375,0.8366194587450526,0.8352777777777778,0.8431382991650566,0.8427777777777777,0.8888276063743935,0.8513098213053988,-0.01469036256034617,0.006518840420003946
fmnist,asymmetric_30,asymmetric,4,30.01388888888889,0.8543054358644321,0.8561111111111112,0.850287424598925,0.8505555555555555,0.8523298276426189,0.8548611111111111,0.8739080072619135,0.8745833333333334,0.8417478028634257,0.84125,0.8463670044407279,0.8472222222222222,0.885781626073496,0.8543054358644321,-0.01255763300100643,0.004619201577302223
fmnist,asymmetric_40,asymmetric,0,39.75694444444444,0.8218671933880419,0.8231944444444445,0.7138710380995293,0.7141666666666666,0.8181637358678884,0.8197222222222222,0.7739362751514743,0.7745833333333333,0.7634394357188876,0.7630555555555556,0.7649672971880462,0.7670833333333333,0.7730607082902253,0.8218671933880419,-0.05842775766915431,0.00152786146915862
fmnist,asymmetric_40,asymmetric,1,39.89930555555555,0.8008109176795808,0.8027777777777778,0.6988057210568999,0.6990277777777778,0.8043058637003634,0.8068055555555556,0.7509142398498702,0.7515277777777778,0.7472848881745249,0.7468055555555555,0.7484156695409113,0.7504166666666666,0.7568681629255029,0.8043058637003634,-0.05702097552583851,0.0011307813663864463
