domain,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,kappa_RF_XGB,kappa_RF_ET,kappa_XGB_ET,kappa_mean,full_agreement_rate,f1_RF,f1_XGB,f1_ET
Tabular,asymmetric,0.2,3,20.09,62.51493310928345,0.8557337754078151,0.8732043790116926,0.788577994640397,0.8391720496866348,0.84955,0.7780220023803306,0.7730024992978662,0.7190375552576763
Tabular,asymmetric,0.2,4,20.01875,65.97353982925415,0.8531763947236147,0.8683717152067565,0.789479049331117,0.8370090530871628,0.8483,0.787778552085851,0.7815639630596368,0.7291339968647803
Tabular,asymmetric,0.3,0,29.898750000000003,64.4150595664978,0.7758392776297794,0.8158420025767366,0.6974778637830216,0.7630530479965126,0.77295,0.671301854411214,0.6619082887098123,0.6249195276328982
Tabular,asymmetric,0.3,1,30.056250000000002,67.14494061470032,0.7789596311191316,0.8228915720916548,0.6970526138149769,0.766301272341921,0.77555,0.6875944642363884,0.672802309075332,0.6364883268826754
Tabular,asymmetric,0.3,2,30.03125,63.407665729522705,0.7757941931993693,0.8232905297300395,0.6944243247232689,0.7645030158842259,0.77435,0.6767694731117484,0.6634495842453579,0.6338842129120996
Tabular,asymmetric,0.3,3,29.983749999999997,65.00586080551147,0.7732980886465841,0.8236005343484156,0.6889334296755889,0.7619440175568629,0.77155,0.6611908366554571,0.6487603727767283,0.6281987546658107
Tabular,asymmetric,0.3,4,30.051250000000003,63.21670174598694,0.7774540414215712,0.8206395543386223,0.6928962535928269,0.7636632831176735,0.774,0.6744831446686729,0.6676870731422444,0.6308072330855339
Tabular,asymmetric,0.4,0,40.082499999999996,64.8563723564148,0.6857230482294577,0.7780079403784825,0.5983585938088912,0.6873631941389439,0.68755,0.5449397855730371,0.5266695870046195,0.5340567605539777
Tabular,asymmetric,0.4,1,39.9325,64.28774642944336,0.6796907538974377,0.7833728219729568,0.5974343466197505,0.6868326408300484,0.6873,0.5304333466063726,0.5248767361284833,0.5282550525222455
Tabular,asymmetric,0.4,2,40.21125,64.3141508102417,0.6874144804803066,0.7834596738404969,0.6066359638114709,0.6925033727107581,0.69165,0.5535487198752017,0.5468152995581086,0.5430277546460355
Tabular,asymmetric,0.4,3,40.08875,63.909613609313965,0.6967405293014987,0.7862152037327098,0.6106163565793874,0.6978573632045318,0.6973,0.5476709358048378,0.5368652532062924,0.5331370453954504
Tabular,asymmetric,0.4,4,39.975,63.87829804420471,0.6812001530856646,0.7794905397126598,0.5990450951213799,0.6865785959732348,0.6854,0.5373010496640217,0.5331747943099441,0.5301950871975769
Tabular,pairflip,0.4,0,24.610000000000003,60.82078170776367,0.7799100612693683,0.8641136452465867,0.7426421402194343,0.7955552822451297,0.79035,0.6911676428212282,0.6874203641160325,0.6678328820770759
Tabular,pairflip,0.4,1,24.456249999999997,60.918267250061035,0.7735817876354645,0.863005098746205,0.7414072874012337,0.7926647245943012,0.78985,0.6869145411073231,0.6803468057856276,0.668475826347711
