dataset,condition,fold,actual_noise_pct,gce_q,f1_GCE_XGB,acc_GCE_XGB,seconds
pendigits,symmetric_20,0,20.81516587677725,0.7,0.9803679647458152,0.9802880970432144,6.1
pendigits,symmetric_20,1,19.696682464454977,0.7,0.9894295051647826,0.9893858984078848,5.7
pendigits,symmetric_20,2,19.77251184834123,0.7,0.9819755168218396,0.9818043972706596,5.8
pendigits,symmetric_20,3,20.132701421800945,0.7,0.9755205662912272,0.9757391963608796,6.3
pendigits,symmetric_20,4,19.446550416982564,0.7,0.9742430238769048,0.9742033383915024,5.7
pendigits,symmetric_30,0,29.6872037914692,0.7,0.9624482757786392,0.9628506444275968,7.3
pendigits,symmetric_30,1,29.497630331753555,0.7,0.9734376676868032,0.973464746019712,7.4
pendigits,symmetric_30,2,29.87677725118484,0.7,0.9660174815940576,0.9658832448824868,7.6
pendigits,symmetric_30,3,29.459715639810423,0.7,0.950535146903722,0.9507202426080364,7.7
pendigits,symmetric_30,4,30.81880212282032,0.7,0.9574205701655788,0.9575113808801214,7.8
pendigits,symmetric_40,0,39.29857819905213,0.7,0.924690652370867,0.9249431387414708,9.4
pendigits,symmetric_40,1,40.37914691943128,0.7,0.8945937580230471,0.8946171341925702,9.6
pendigits,symmetric_40,2,39.65876777251185,0.7,0.9053705971224996,0.9052312357846852,9.4
pendigits,symmetric_40,3,40.60663507109005,0.7,0.921475214343934,0.9219105382865808,9.8
pendigits,symmetric_40,4,39.992418498862776,0.7,0.908783403204122,0.9089529590288316,9.5
satimage,asymmetric_10,0,10.038860103626943,0.7,0.8952340784913836,0.9107373868046572,2.0
satimage,asymmetric_10,1,11.006798316607316,0.7,0.8699803686303804,0.8911917098445595,2.1
satimage,asymmetric_10,2,9.841372612495954,0.7,0.8794620222650056,0.8950777202072538,1.9
satimage,asymmetric_10,3,9.906118484946584,0.7,0.8859719382906261,0.905440414507772,1.9
satimage,asymmetric_10,4,10.747814826804792,0.7,0.8902068533559957,0.9080310880829016,2.0
satimage,asymmetric_20,0,21.340673575129536,0.7,0.8424018489674815,0.8602846054333765,2.3
satimage,asymmetric_20,1,20.135966332146328,0.7,0.8279349584789828,0.8510362694300518,2.3
satimage,asymmetric_20,2,19.19715118161217,0.7,0.8472025420541298,0.8626943005181347,2.2
satimage,asymmetric_20,3,20.4920686306248,0.7,0.8507110806751981,0.8756476683937824,2.3
satimage,asymmetric_20,4,19.391388798964066,0.7,0.8528330271527217,0.8769430051813472,2.3
satimage,asymmetric_30,0,29.889896373056995,0.7,0.7613494407827929,0.7800776196636481,2.5
satimage,asymmetric_30,1,29.07089673033344,0.7,0.7596760697399924,0.7901554404145078,2.3
satimage,asymmetric_30,2,29.97733894464228,0.7,0.7778440180905184,0.7966321243523317,2.4
satimage,asymmetric_30,3,28.81191324053092,0.7,0.7893767190667416,0.8095854922279793,2.4
satimage,asymmetric_30,4,30.689543541599225,0.7,0.7548799116796033,0.7797927461139896,2.5
satimage,asymmetric_40,0,38.53626943005181,0.7,0.6686880427504712,0.684346701164295,2.5
satimage,asymmetric_40,1,40.72515377144707,0.7,0.5941665865115641,0.6256476683937824,2.4
satimage,asymmetric_40,2,39.00938815150534,0.7,0.6405862686341023,0.6567357512953368,2.4
satimage,asymmetric_40,3,40.854645516348334,0.7,0.6428310778388714,0.6593264248704663,2.6
satimage,asymmetric_40,4,38.815150534153446,0.7,0.6733122830718238,0.6917098445595855,2.5
satimage,clean_0,0,0.0,0.7,0.9020130596804888,0.9197930142302716,1.4
satimage,clean_0,1,0.0,0.7,0.886553902375486,0.9067357512953368,1.5
satimage,clean_0,2,0.0,0.7,0.90172391874498,0.9158031088082902,1.5
satimage,clean_0,3,0.0,0.7,0.9090911149733664,0.9235751295336788,1.6
satimage,clean_0,4,0.0,0.7,0.9108914551619232,0.9261658031088082,1.4
satimage,pairflip_40,0,19.52720207253886,0.7,0.7606708235756,0.8124191461836999,2.0
satimage,pairflip_40,1,21.68986727096148,0.7,0.6828066392037074,0.7525906735751295,2.0
satimage,pairflip_40,2,20.03884752347038,0.7,0.7351564605223988,0.783678756476684,2.0
satimage,pairflip_40,3,21.560375526060213,0.7,0.7324317454278596,0.7823834196891192,2.1
satimage,pairflip_40,4,20.751052120427325,0.7,0.7531447463856448,0.8069948186528497,2.0
