model,noise_type,noise_level,fold,train_size,actual_noise_pct,runtime_seconds,accuracy,f1_macro,f1_weighted,f1_class_0,f1_class_1,f1_class_2,f1_class_3,f1_class_4,f1_class_5,f1_class_6
XGBoost_100k,asymmetric,0.2,3,80000,20.09,24.43276309967041,0.86285,0.7730024992978662,0.8624033810601477,0.8613352898019075,0.8906311250490004,0.7801215588130139,0.5811965811965812,0.7233273056057866,0.7506950880444856,0.8237105465742879
XGBoost_100k,asymmetric,0.2,4,80000,20.01875,24.01110029220581,0.86485,0.7815639630596368,0.864367337381515,0.8633903758958608,0.8894987014259813,0.7903755012759752,0.6101694915254238,0.6958105646630237,0.7913669064748201,0.8303362001563722
XGBoost_100k,asymmetric,0.3,0,80000,29.898750000000003,25.10104727745056,0.78375,0.6619082887098123,0.7873351380536994,0.790148395618056,0.8285520449699554,0.5924344112263575,0.3652173913043478,0.6177606177606177,0.7113970588235294,0.7278481012658228
XGBoost_100k,asymmetric,0.3,1,80000,30.056250000000002,25.126060009002686,0.78575,0.672802309075332,0.7898212944444176,0.7977345022887734,0.8268379312022576,0.5943870014771049,0.425,0.631578947368421,0.6907706945765937,0.7433070866141732
XGBoost_100k,asymmetric,0.3,2,80000,30.03125,25.043068170547485,0.7858,0.6634495842453579,0.7892619646797103,0.7910436197412257,0.8301886792452831,0.6067755595886267,0.33727810650887574,0.6566037735849056,0.7055503292568204,0.7167070217917676
XGBoost_100k,asymmetric,0.3,3,80000,29.983749999999997,24.9581561088562,0.78545,0.6487603727767283,0.7875137927681402,0.7913211933359163,0.8320255739610578,0.6181377009402487,0.38311688311688313,0.5625,0.6540642722117203,0.7001569858712716
XGBoost_100k,asymmetric,0.3,4,80000,30.051250000000003,24.611652135849,0.78585,0.6676870731422444,0.7893481873204868,0.7960408385940301,0.828244644761074,0.5975427030266707,0.43243243243243246,0.5884615384615385,0.6818613485280152,0.7492260061919505
XGBoost_100k,asymmetric,0.4,0,80000,40.082499999999996,25.119134664535522,0.6542,0.5266695870046195,0.6690631700211496,0.6775578947368421,0.7205975687155202,0.38790593505039195,0.2345415778251599,0.5195876288659794,0.6078431372549019,0.5386533665835411
XGBoost_100k,asymmetric,0.4,1,80000,39.9325,25.330256700515747,0.66725,0.5248767361284833,0.6807578405722802,0.6872521724457943,0.7362972280005805,0.3952267303102625,0.20423892100192678,0.4899598393574297,0.577560975609756,0.5836012861736335
XGBoost_100k,asymmetric,0.4,2,80000,40.21125,25.24315094947815,0.6549,0.5468152995581086,0.6708584869545212,0.6739814578548949,0.7179937548790007,0.38906180524677636,0.2249488752556237,0.5764705882352941,0.6181455633100698,0.6271050521251003
XGBoost_100k,asymmetric,0.4,3,80000,40.08875,25.211872816085815,0.6597,0.5368652532062924,0.6748995803208926,0.6832203389830509,0.7259966858368262,0.3915273132664437,0.25523012552301255,0.5515873015873016,0.576204523107178,0.5742904841402338
XGBoost_100k,asymmetric,0.4,4,80000,39.975,24.77603793144226,0.65745,0.5331747943099441,0.6718106860002022,0.6796841837167841,0.722724181482561,0.3907629612859407,0.2721649484536082,0.4948875255623722,0.5907752698724239,0.5812244897959183
XGBoost_100k,pairflip,0.4,0,80000,24.610000000000003,23.44010353088379,0.7598,0.6874203641160325,0.7819521733827011,0.9138591890256204,0.7660368556099837,0.3490526315789474,0.8795811518324608,0.7747440273037542,0.5347682119205298,0.593900481540931
XGBoost_100k,pairflip,0.4,1,80000,24.456249999999997,23.458214282989502,0.76405,0.6803468057856276,0.7848105518283026,0.918784456097889,0.7711051089017873,0.32942737121379617,0.8449197860962567,0.7766666666666666,0.5008880994671403,0.6206361520558572
XGBoost_100k,pairflip,0.4,2,80000,24.77,23.512156009674072,0.75775,0.6876058378645321,0.7812086691249327,0.9168630090878492,0.757802454704851,0.33429871741828715,0.7840909090909091,0.8040201005025126,0.5408805031446541,0.6752851711026616
