file,rows,cols,columns
/kaggle/input/datasets/rabianaz22/4f-parta-image-stacking-symmetric-3rd-paper/stacking_symmetric_results/stacking_symmetric_results_full.csv,25,52,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/4f-parta-image-stacking-symmetric-3rd-paper/stacking_symmetric_results/stacking_symmetric_summary.csv,5,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/4f-partb-image-stacking-asymmetric-3rd-paper/stacking_asymmetric_results/checkpoints/stacking_asymmetric_results_intermediate.csv,25,52,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/4f-partb-image-stacking-asymmetric-3rd-paper/stacking_asymmetric_results/stacking_asymmetric_nsi.csv,1,7,model|noise_type|f1_clean|f1_at_40pct_noise|total_drop|nsi_slope|relative_drop_pct
/kaggle/input/datasets/rabianaz22/4f-partb-image-stacking-asymmetric-3rd-paper/stacking_asymmetric_results/stacking_asymmetric_per_class_metrics.csv,5,12,noise_type|noise_level|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6|f1_class_7|f1_class_8|f1_class_9
/kaggle/input/datasets/rabianaz22/4f-partb-image-stacking-asymmetric-3rd-paper/stacking_asymmetric_results/stacking_asymmetric_results_full.csv,25,52,model|noise_type|noise_level|fold|train_size|val_size|actual_noise_pct|runtime_seconds|ram_gb|accuracy|f1_macro|f1_weighted|precision_class_0|recall_class_0|f1_class_0|support_class_0|precision_class_1|recall_class_1|f1_class_1|support_class_1|precision_class_2|recall_class_2|f1_class_2|support_class_2|precision_class_3
/kaggle/input/datasets/rabianaz22/4f-partb-image-stacking-asymmetric-3rd-paper/stacking_asymmetric_results/stacking_asymmetric_summary.csv,5,8,noise_type|noise_level|accuracy_mean|accuracy_std|f1_macro_mean|f1_macro_std|f1_weighted_mean|f1_weighted_std
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/checkpoints/equal_n_intermediate.csv,165,17,model|noise_type|noise_level|fold|train_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/equal_n_nsi.csv,6,6,model|noise_type|f1_clean|f1_at_40|nsi_slope|rel_drop_pct
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/equal_n_pairflip.csv,3,3,model|mean|std
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/equal_n_results_full.csv,165,17,model|noise_type|noise_level|fold|train_size|actual_noise_pct|runtime_seconds|accuracy|f1_macro|f1_weighted|f1_class_0|f1_class_1|f1_class_2|f1_class_3|f1_class_4|f1_class_5|f1_class_6
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/equal_n_slope_ci.csv,6,4,model|noise_type|slope_ci_low|slope_ci_high
/kaggle/input/datasets/rabianaz22/8-output-3rd-paper/equal_n_results/equal_n_summary.csv,33,5,model|noise_type|noise_level|mean|std
