domain,arm,noise_type,noise_level,fold,actual_noise_pct,runtime_seconds,f1_macro,accuracy
Tabular,AllFour,pairflip,0.4,2,24.77,246.3592779636383,0.8167434856968729,0.88445
Tabular,Confidence,pairflip,0.4,2,24.77,246.35939121246338,0.8161304676253387,0.8839
Tabular,Disagreement,pairflip,0.4,2,24.77,246.35950303077698,0.8116377840446223,0.88235
Tabular,PlainStack,pairflip,0.4,3,24.54,242.72646141052246,0.8172560690191505,0.88385
Tabular,AllFour,pairflip,0.4,3,24.54,242.72658133506775,0.825285451361754,0.88655
Tabular,Confidence,pairflip,0.4,3,24.54,242.7266924381256,0.8228336721252943,0.88605
Tabular,Disagreement,pairflip,0.4,3,24.54,242.72681212425232,0.8212578149427767,0.8853
Tabular,PlainStack,pairflip,0.4,4,24.52875,238.6764395236969,0.8268975594572712,0.89065
Tabular,AllFour,pairflip,0.4,4,24.52875,238.67656707763672,0.8343440430814943,0.89245
Tabular,Confidence,pairflip,0.4,4,24.52875,238.67668437957764,0.837656720968857,0.89285
Tabular,Disagreement,pairflip,0.4,4,24.52875,238.67681050300598,0.8308845888822399,0.89135
