domain,model,ensemble,noise_type,noise_level,fold,train_size,actual_noise_pct,f1_macro,accuracy,source_file,source_path,who
Tabular,XGBoost,XGBoost,symmetric,0.0,3.0,278885.0,0.0,0.9363734112630088,0.9606861634227852,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.0,4.0,278885.0,0.0,0.9337574083899371,0.959954676496321,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.1,0.0,278884.0,10.010255159851408,0.90646617540816,0.948050830440894,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.1,1.0,278885.0,10.013804973376123,0.9146884646579708,0.9485090575292954,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.1,2.0,278885.0,10.05181347150259,0.9115397011159138,0.9463145967499031,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.1,3.0,278885.0,10.024562095487386,0.9125685440661868,0.9485664290529396,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.1,4.0,278885.0,9.96503935313839,0.9079264740972692,0.9455257382997948,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.2,0.0,278884.0,20.01082887508785,0.881703129380989,0.9354723042941968,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.2,1.0,278885.0,20.00501999031859,0.8910418006775896,0.9377375539650894,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.2,2.0,278885.0,19.98601574125536,0.8933566253598125,0.936676180777671,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.2,3.0,278885.0,19.96199150187353,0.8915688260595492,0.9354283501384087,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.2,4.0,278885.0,20.058805600874912,0.8859085504735552,0.9346681774501228,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
Tabular,XGBoost,XGBoost,symmetric,0.3,0.0,278884.0,30.056224093171352,0.8561402410773679,0.9224634978916268,master_all_results.csv,/kaggle/input/datasets/rabianaz22/05-aggregation-output-3rd-paper/aggregated_results,XGBoost/XGBoost
