dataset,condition,fold,actual_noise_pct,n_train,n_flagged,flag_rate_pct,flag_precision,flag_recall,f1_CL_XGB,acc_CL_XGB,seconds
satimage,symmetric_10,3,9.906118484946584,3089,404,13.08,0.6559,0.866,0.8882816413932794,0.9067357512953368,1.3
satimage,symmetric_10,4,10.747814826804792,3089,444,14.37,0.6847,0.9157,0.8991972060994661,0.9158031088082902,1.3
satimage,symmetric_20,0,21.340673575129536,3088,747,24.19,0.8139,0.9226,0.8747226805037244,0.8939197930142303,1.3
satimage,symmetric_20,1,20.135966332146328,3089,711,23.02,0.8143,0.9309,0.8558118056648514,0.8847150259067358,1.2
satimage,symmetric_20,2,19.19715118161217,3089,695,22.5,0.8,0.9376,0.8848798273373805,0.9002590673575129,1.3
satimage,symmetric_20,3,20.4920686306248,3089,743,24.05,0.79,0.9273,0.875902314501127,0.9015544041450776,1.2
satimage,symmetric_20,4,19.391388798964066,3089,728,23.57,0.7761,0.9432,0.8860639487741722,0.9041450777202072,1.2
satimage,symmetric_30,0,29.889896373056995,3088,986,31.93,0.8682,0.9274,0.8733067947599679,0.8939197930142303,1.2
satimage,symmetric_30,1,29.07089673033344,3089,970,31.4,0.866,0.9354,0.8425047777415591,0.8678756476683938,1.2
satimage,symmetric_30,2,29.97733894464228,3089,990,32.05,0.8707,0.9309,0.8645378151469131,0.8808290155440415,1.2
satimage,symmetric_30,3,28.81191324053092,3089,978,31.66,0.8528,0.9371,0.8962267860089113,0.911917098445596,1.2
satimage,symmetric_30,4,30.689543541599225,3089,1030,33.34,0.865,0.9399,0.8856222763961892,0.905440414507772,1.3
satimage,symmetric_40,0,38.53626943005181,3088,1207,39.09,0.8882,0.9008,0.8701968637204965,0.8926261319534282,1.3
satimage,symmetric_40,1,40.72515377144707,3089,1271,41.15,0.8938,0.903,0.8424323152879077,0.8691709844559585,1.3
satimage,symmetric_40,2,39.00938815150534,3089,1203,38.94,0.8928,0.8913,0.867363164926207,0.8847150259067358,1.4
satimage,symmetric_40,3,40.854645516348334,3089,1292,41.83,0.887,0.9081,0.8727245341568426,0.8937823834196891,1.3
satimage,symmetric_40,4,38.815150534153446,3089,1246,40.34,0.886,0.9208,0.8869207887617105,0.9041450777202072,1.2
