dataset,condition,fold,method,f1,noise_type,noise_level
pendigits,symmetric_20,2,RF,0.9811492501543796,symmetric,20
pendigits,symmetric_20,3,RF,0.985476607529002,symmetric,20
pendigits,symmetric_20,4,RF,0.978892102828776,symmetric,20
pendigits,symmetric_30,0,RF,0.9879716535931768,symmetric,30
pendigits,symmetric_30,1,RF,0.981829093823935,symmetric,30
pendigits,symmetric_30,2,RF,0.9727981150176458,symmetric,30
pendigits,symmetric_30,3,RF,0.973486278759622,symmetric,30
pendigits,symmetric_30,4,RF,0.9722416550822044,symmetric,30
pendigits,symmetric_40,0,RF,0.9727634695820908,symmetric,40
pendigits,symmetric_40,1,RF,0.9575601787019286,symmetric,40
pendigits,symmetric_40,2,RF,0.9627323034163602,symmetric,40
pendigits,symmetric_40,3,RF,0.9657000512713874,symmetric,40
pendigits,symmetric_40,4,RF,0.9626267911307864,symmetric,40
satimage,asymmetric_10,0,RF,0.8852884017629519,asymmetric,10
satimage,asymmetric_10,1,RF,0.8663383434451349,asymmetric,10
satimage,asymmetric_10,2,RF,0.8920893486757014,asymmetric,10
satimage,asymmetric_10,3,RF,0.8857450433035905,asymmetric,10
satimage,asymmetric_10,4,RF,0.9052775782622776,asymmetric,10
satimage,asymmetric_20,0,RF,0.8768623962329499,asymmetric,20
satimage,asymmetric_20,1,RF,0.8513936794862594,asymmetric,20
satimage,asymmetric_20,2,RF,0.883079183181421,asymmetric,20
satimage,asymmetric_20,3,RF,0.8783680090154626,asymmetric,20
satimage,asymmetric_20,4,RF,0.8927409521399161,asymmetric,20
satimage,asymmetric_30,0,RF,0.8431833713353152,asymmetric,30
satimage,asymmetric_30,1,RF,0.8020617060856563,asymmetric,30
satimage,asymmetric_30,2,RF,0.8382827576174448,asymmetric,30
satimage,asymmetric_30,3,RF,0.8490771827196655,asymmetric,30
satimage,asymmetric_30,4,RF,0.8276375684687328,asymmetric,30
satimage,asymmetric_40,0,RF,0.7513535930337976,asymmetric,40
satimage,asymmetric_40,1,RF,0.6647360658874056,asymmetric,40
satimage,asymmetric_40,2,RF,0.7465270380057766,asymmetric,40
satimage,asymmetric_40,3,RF,0.6977850867558932,asymmetric,40
satimage,asymmetric_40,4,RF,0.7228908416046256,asymmetric,40
satimage,clean_0,0,RF,0.8928810392257773,clean,0
satimage,clean_0,1,RF,0.8694717126822039,clean,0
satimage,clean_0,2,RF,0.8913596594701282,clean,0
satimage,clean_0,3,RF,0.9023862795681348,clean,0
satimage,clean_0,4,RF,0.8957960165943116,clean,0
satimage,pairflip_40,0,RF,0.8097800320323659,pairflip,40
satimage,pairflip_40,1,RF,0.7257571284859435,pairflip,40
satimage,pairflip_40,2,RF,0.7776420996359278,pairflip,40
satimage,pairflip_40,3,RF,0.7432723636413986,pairflip,40
satimage,pairflip_40,4,RF,0.7861627646371132,pairflip,40
satimage,symmetric_10,0,RF,0.8870353216697078,symmetric,10
satimage,symmetric_10,1,RF,0.8709714369185684,symmetric,10
satimage,symmetric_10,2,RF,0.8924069778318752,symmetric,10
satimage,symmetric_10,3,RF,0.8840793553580893,symmetric,10
satimage,symmetric_10,4,RF,0.89689541968258,symmetric,10
satimage,symmetric_20,0,RF,0.8921621182125841,symmetric,20
satimage,symmetric_20,1,RF,0.8685646810965056,symmetric,20
satimage,symmetric_20,2,RF,0.8815380467018068,symmetric,20
satimage,symmetric_20,3,RF,0.8954591462534788,symmetric,20
satimage,symmetric_20,4,RF,0.9092049207459522,symmetric,20
satimage,symmetric_30,0,RF,0.8830728683055517,symmetric,30
satimage,symmetric_30,1,RF,0.8612000715170182,symmetric,30
satimage,symmetric_30,2,RF,0.8731965245660908,symmetric,30
satimage,symmetric_30,3,RF,0.8913194913391194,symmetric,30
satimage,symmetric_30,4,RF,0.8999188240107968,symmetric,30
satimage,symmetric_40,0,RF,0.8736451297299048,symmetric,40
satimage,symmetric_40,1,RF,0.832938767102628,symmetric,40
satimage,symmetric_40,2,RF,0.8725100560003454,symmetric,40
satimage,symmetric_40,3,RF,0.8628397009385068,symmetric,40
satimage,symmetric_40,4,RF,0.8902155909697568,symmetric,40
shuttle,asymmetric_10,0,RF,0.7291199660924124,asymmetric,10
shuttle,asymmetric_10,1,RF,0.7336614834862484,asymmetric,10
shuttle,asymmetric_10,2,RF,0.7235530756910251,asymmetric,10
shuttle,asymmetric_10,3,RF,0.7343742625364235,asymmetric,10
shuttle,asymmetric_10,4,RF,0.7257336305581553,asymmetric,10
shuttle,asymmetric_20,0,RF,0.6631212829826165,asymmetric,20
shuttle,asymmetric_20,1,RF,0.676248231928702,asymmetric,20
shuttle,asymmetric_20,2,RF,0.6627083839010599,asymmetric,20
shuttle,asymmetric_20,3,RF,0.6712615739806225,asymmetric,20
shuttle,asymmetric_20,4,RF,0.6570618595203072,asymmetric,20
shuttle,asymmetric_30,0,RF,0.5921700790599035,asymmetric,30
shuttle,asymmetric_30,1,RF,0.6027301561171373,asymmetric,30
shuttle,asymmetric_30,2,RF,0.6031455116216731,asymmetric,30
shuttle,asymmetric_30,3,RF,0.6003425500762546,asymmetric,30
shuttle,asymmetric_30,4,RF,0.5949239363653542,asymmetric,30
shuttle,asymmetric_40,0,RF,0.533007430311562,asymmetric,40
shuttle,asymmetric_40,1,RF,0.5147345746394585,asymmetric,40
shuttle,asymmetric_40,2,RF,0.4986762499334224,asymmetric,40
shuttle,asymmetric_40,3,RF,0.5056094927117196,asymmetric,40
shuttle,asymmetric_40,4,RF,0.5134118084361274,asymmetric,40
shuttle,clean_0,0,RF,0.9160782399418764,clean,0
shuttle,clean_0,1,RF,0.92008362557324,clean,0
shuttle,clean_0,2,RF,0.8907743499460785,clean,0
shuttle,clean_0,3,RF,0.902997060137345,clean,0
shuttle,clean_0,4,RF,0.9020536627648332,clean,0
shuttle,pairflip_40,0,RF,0.5148339616748151,pairflip,40
shuttle,pairflip_40,1,RF,0.4971884372642866,pairflip,40
shuttle,pairflip_40,2,RF,0.4819156038432591,pairflip,40
shuttle,pairflip_40,3,RF,0.4864493637287515,pairflip,40
shuttle,pairflip_40,4,RF,0.4938585222480598,pairflip,40
shuttle,symmetric_10,0,RF,0.7179830556802798,symmetric,10
shuttle,symmetric_10,1,RF,0.7200902006797764,symmetric,10
shuttle,symmetric_10,2,RF,0.7243783648228064,symmetric,10
shuttle,symmetric_10,3,RF,0.7344824545162754,symmetric,10
shuttle,symmetric_10,4,RF,0.7248955154157926,symmetric,10
shuttle,symmetric_20,0,RF,0.6350731038586152,symmetric,20
shuttle,symmetric_20,1,RF,0.6537558201908864,symmetric,20
shuttle,symmetric_20,2,RF,0.6362598271714806,symmetric,20
shuttle,symmetric_20,3,RF,0.6409286711608816,symmetric,20
shuttle,symmetric_20,4,RF,0.6308857992650836,symmetric,20
shuttle,symmetric_30,0,RF,0.5563227077590858,symmetric,30
shuttle,symmetric_30,1,RF,0.5754494846043833,symmetric,30
shuttle,symmetric_30,2,RF,0.5627923488956333,symmetric,30
shuttle,symmetric_30,3,RF,0.562696147850461,symmetric,30
shuttle,symmetric_30,4,RF,0.5598876244091944,symmetric,30
shuttle,symmetric_40,0,RF,0.4910974882617795,symmetric,40
shuttle,symmetric_40,1,RF,0.4785313441808929,symmetric,40
shuttle,symmetric_40,2,RF,0.4682566959360384,symmetric,40
shuttle,symmetric_40,3,RF,0.472342457283722,symmetric,40
shuttle,symmetric_40,4,RF,0.4738552747893999,symmetric,40
drybean,asymmetric_10,0,XGB,0.9264243040098002,asymmetric,10
drybean,asymmetric_10,1,XGB,0.932993085360774,asymmetric,10
drybean,asymmetric_10,2,XGB,0.9332386381633188,asymmetric,10
drybean,asymmetric_10,3,XGB,0.9314232520545296,asymmetric,10
drybean,asymmetric_10,4,XGB,0.9320409987343704,asymmetric,10
drybean,asymmetric_20,0,XGB,0.8874635868792268,asymmetric,20
drybean,asymmetric_20,1,XGB,0.8994080820952053,asymmetric,20
drybean,asymmetric_20,2,XGB,0.9099381919722216,asymmetric,20
drybean,asymmetric_20,3,XGB,0.8774115337261066,asymmetric,20
drybean,asymmetric_20,4,XGB,0.9001926116574498,asymmetric,20
drybean,asymmetric_30,0,XGB,0.799591337070454,asymmetric,30
drybean,asymmetric_30,1,XGB,0.8288792805541233,asymmetric,30
drybean,asymmetric_30,2,XGB,0.8001586986624675,asymmetric,30
drybean,asymmetric_30,3,XGB,0.807748290799535,asymmetric,30
drybean,asymmetric_30,4,XGB,0.8134288194567413,asymmetric,30
drybean,asymmetric_40,0,XGB,0.6663218983586928,asymmetric,40
